Question,Correct,Your Answer,Result,Topic,Difficulty
33,1,1,Correct,"Triangles, Quadrilaterals, Area",4
34,2,4,Incorrect,"Substitution, Rearrangement",4
35,2,3,Incorrect,"Distance between Points, Midpoint",5
36,3,3,Correct,Word Problems,4
37,0,2,Incorrect,"Word Problems, Triangles",4
38,3,4,Incorrect,"Quadrilaterals, Circles, Area",3
39,1,1,Correct,Ratios & Proportions,3
40,3,4,Incorrect,"Angles & Lines, Quadrilaterals",4
41,0,4,Incorrect,Perimeter,3
42,1,0,Incorrect,"Properties of Numbers, Fractions, Word",4
43,1,3,Incorrect,"Remainders, Factors, Multiples",5
44,2,1,Incorrect,Percents,2
45,3,4,Incorrect,"Distance between Points, Midpoint",3
46,3,1,Incorrect,"Ratios & Proportions, Circles",1
47,2,3,Incorrect,"Circles, Graphs",4
48,2,3,Incorrect,Complex Numbers,4
49,2,3,Incorrect,Sequences & Series,2
50,1,0,Incorrect,"Word Problems, Permutations &",3
51,2,0,Incorrect,Inequalities,4
52,3,2,Incorrect,Visualizations,3
53,2,1,Incorrect,"Word Problems, Circles",3
54,2,3,Incorrect,Trigonometry,5
55,3,1,Incorrect,"Inequalities, Graphs",4
56,2,4,Incorrect,Substitution / Plug-in,5
57,0,0,Correct,"Graphs, Simple Solving",5
58,1,0,Incorrect,"Transformations (Reflections, Shifts, Stretches)",4
59,0,0,Correct,"Substitution, Rearrangement",4
60,1,4,Incorrect,Trigonometry,5
